
NFE_FORMAS_PAGAMENTO            CODIGO                          
NFE_FORMAS_PAGAMENTO            DESCRICAO                       
NFE_FORMAS_PAGAMENTO            TEF                             
NFE_FORMAS_PAGAMENTO            IMPRIME_VINCULADO               
NFE_FORMAS_PAGAMENTO            PERMITE_TROCO                   
NFE_FORMAS_PAGAMENTO            TEF_TIPO_GP                     
NFE_FORMAS_PAGAMENTO            GERA_PARCELAS                   
NFE_FORMAS_PAGAMENTO            TIPO_PAGAMENTO                  
NFE_FORMAS_PAGAMENTO            VISIVEL                         
NFE_ITENS                       VALOR_UNITARIO                  
NFE_ITENS                       VALOR_CUSTO                     
NFE_ITENS                       VALOR_PRODUTOS                  
NFE_ITENS                       VALOR_OUTROS                    
NFE_ITENS                       VALOR_SEGURO                    
NFE_ITENS                       VALOR_FRETE                     
NFE_ITENS                       ICMS_VALOR                      
NFE_ITENS                       ICMS_VALOR_ST                   
NFE_ITENS                       IPI_VALOR                       
NFE_ITENS                       PIS_VALOR                       
NFE_ITENS                       COFINS_VALOR                    
NFE_ITENS                       VALOR_APROX_FEDERAL             
NFE_ITENS                       VALOR_APROX_ESTADUAL            
NFE_ITENS                       IPI_VALOR_PAUTA                 
NFE_ITENS                       IPI_VALOR_DEVOL                 
NFE_ITENS                       FCP_VALOR                       
NFE_ITENS                       FCP_VALOR_ST                    
NFE_ITENS                       FCP_VALOR_STRET                 
NFE_ITENS                       ICMS_VALOR_STRT                 
NFE_ITENS                       DIFAL_VALORPARTDESTINO          
NFE_ITENS                       DIFAL_VALORPARTREMETENTE        
NFE_PARCELAMENTO                ID_TIPO_PAGAMENTO               
NFE_PARCELAMENTO                VALOR                           
NFE_TOTAL_TIPO_PGTO             ID_TIPO_PAGAMENTO               
NFE_TOTAL_TIPO_PGTO             VALOR                           
NFSE                            VALOR_FINAL                     
NFSE                            VALOR_ISS                       
NFSE                            VALOR_PIS                       
NFSE                            VALOR_COFINS                    
NFSE                            VALOR_INSS                      
NFSE                            VALOR_CSLL                      
NFSE                            VALOR_IR                        
NFSE                            VALOR_DEDUCOES_BC               
NFSE                            VALOR_ISS_RETIDO                
NFSE_ITENS                      VALOR_UNITARIO                  
NFSE_ITENS                      VALOR_CUSTO                     
NFSE_ITENS                      VALOR_TOTAL                     
NFSE_ITENS                      VALOR_PIS                       
NFSE_ITENS                      VALOR_INSS                      
NFSE_ITENS                      VALOR_IR                        
NFSE_ITENS                      VALOR_CSLL                      
NFSE_ITENS                      VALOR_ISS                       
NFSE_ITENS                      VALOR_ISS_RETIDO                
NOTA_COMPRA                     VALOR_ICMS                      
NOTA_COMPRA                     VALOR_ICMS_SUB                  
NOTA_COMPRA                     VALOR_FRETE                     
NOTA_COMPRA                     VALOR_SEGURO                    
NOTA_COMPRA                     VALOR_IPI                       
NOTA_COMPRA                     VALOR_PIS                       
NOTA_COMPRA                     VALOR_COFINS                    
NOTA_COMPRA                     VALOR_DESCONTO                  
NOTA_COMPRA                     VALOR_PRODUTOS                  
NOTA_COMPRA                     VALOR_TOTAL                     
NOTA_COMPRA                     TIPO_FRETE                      
NOTA_COMPRA                     VALOR_ISENTAS                   
NOTA_COMPRA                     FCP_VALOR                       
NOTA_COMPRA                     FCP_VALORST                     
NOTA_COMPRA                     FCP_VALORRET                    
NOTA_COMPRA                     DIFAL_VALORFCPUFDEST            
NOTA_COMPRA                     DIFAL_VALORPARTILHADEST         
NOTA_COMPRA                     DIFAL_VALORPARTILHAREMET        
NOTA_COMPRA                     VALOR_RATEIO                    
NOTA_COMPRA                     AJUSTOU_PRECO_AUTO              
NOTA_COMPRA_DETALHE             VALOR_UNITARIO                  
NOTA_COMPRA_DETALHE             VALOR_COMPRA                    
NOTA_COMPRA_DETALHE             VALOR_UNID_COMERCIAL            
NOTA_COMPRA_DETALHE             VALOR_CUSTO                     
NOTA_COMPRA_DETALHE             VALOR_RATEIOS_TOTAL             
NOTA_COMPRA_DETALHE             VALOR_RATEIOS                   
NOTA_COMPRA_DETALHE             VALOR_PRODUTOS                  
NOTA_COMPRA_DETALHE             VALOR_OUTROS                    
NOTA_COMPRA_DETALHE             VALOR_SEGURO                    
NOTA_COMPRA_DETALHE             VALOR_FRETE                     
NOTA_COMPRA_DETALHE             ICMS_VALOR                      
NOTA_COMPRA_DETALHE             ICMS_VALOR_ST                   
NOTA_COMPRA_DETALHE             IPI_VALOR                       
NOTA_COMPRA_DETALHE             PIS_VALOR                       
NOTA_COMPRA_DETALHE             COFINS_VALOR                    
NOTA_COMPRA_DETALHE             IPI_VALOR_PAUTA                 
NOTA_COMPRA_DETALHE             FCP_VALOR                       
NOTA_COMPRA_DETALHE             DIFAL_VALORPARTDESTINO          
NOTA_COMPRA_DETALHE             DIFAL_VALORPARTREMETENTE        
NOTA_COMPRA_DETALHE             VALOR_CUSTO_ANT                 
NOTA_COMPRA_DETALHE             VALOR_VENDA_ANT                 
NOTA_COMPRA_DETALHE             VALOR_VENDA                     
NOTA_COMPRA_DETALHE             PRECO_ATACADO                   
NOTA_COMPRA_DETALHE             FCP_VALOR_ST                    
NOTA_COMPRA_DETALHE             FCP_VALOR_STRET                 
NOTA_COMPRA_FINANC              VALOR_PARC                      
NOTA_CTE                        VALOR_TOTAL                     
NOTA_CTE                        VALOR_SERVICO                   
NOTA_CTE                        TIPO_FRETE                      
NOTA_CTE                        VALOR_NAO_TRIB                  
NOTA_CTE                        VALOR_DESC                      
NOTA_FISCAL_CABECALHO           ID_TIPO_PAGAMENTO               
NOTA_FISCAL_DETALHE             VALOR_UNITARIO                  
NOTA_FISCAL_DETALHE             VALOR_TOTAL                     
ORCAMENTO                       VALOR_FINAL                     
ORCAMENTO                       VALOR_FINAL_APRAZO              
ORCAMENTO_FORMAS_PAGAMENTO      ID                              
ORCAMENTO_FORMAS_PAGAMENTO      CODIGO                          
ORCAMENTO_FORMAS_PAGAMENTO      DESCRICAO                       
ORCAMENTO_FORMAS_PAGAMENTO      TEF                             
ORCAMENTO_FORMAS_PAGAMENTO      IMPRIME_VINCULADO               
ORCAMENTO_FORMAS_PAGAMENTO      PERMITE_TROCO                   
ORCAMENTO_FORMAS_PAGAMENTO      TEF_TIPO_GP                     
ORCAMENTO_FORMAS_PAGAMENTO      GERA_PARCELAS                   
ORCAMENTO_FORMAS_PAGAMENTO      TIPO_PAGAMENTO                  
ORCAMENTO_FORMAS_PAGAMENTO      VISIVEL                         
ORCAMENTO_ITENS                 VALOR_UNITARIO                  
ORCAMENTO_ITENS                 VALOR_CUSTO                     
ORCAMENTO_ITENS                 VALOR_PRODUTOS                  
ORCAMENTO_ITENS                 VALOR_UNITARIO_APRAZO           
ORCAMENTO_ITENS                 TOTAL_ITEM_APRAZO               
ORCAMENTO_TOTAL_TIPO_PGTO       ID_TIPO_PAGAMENTO               
ORCAMENTO_TOTAL_TIPO_PGTO       VALOR                           
ORDEM_SERVICO                   DATA_ENTREGA                    
ORDEM_SERVICO                   VALOR_FINAL                     
ORDEM_SERVICO_FORMAS_PAGAMENTO  ID                              
ORDEM_SERVICO_FORMAS_PAGAMENTO  CODIGO                          
ORDEM_SERVICO_FORMAS_PAGAMENTO  DESCRICAO                       
ORDEM_SERVICO_FORMAS_PAGAMENTO  TEF                             
ORDEM_SERVICO_FORMAS_PAGAMENTO  IMPRIME_VINCULADO               
ORDEM_SERVICO_FORMAS_PAGAMENTO  PERMITE_TROCO                   
ORDEM_SERVICO_FORMAS_PAGAMENTO  TEF_TIPO_GP                     
ORDEM_SERVICO_FORMAS_PAGAMENTO  GERA_PARCELAS                   
ORDEM_SERVICO_FORMAS_PAGAMENTO  TIPO_PAGAMENTO                  
ORDEM_SERVICO_FORMAS_PAGAMENTO  VISIVEL                         
ORDEM_SERVICO_ITENS             VALOR_UNITARIO                  
ORDEM_SERVICO_ITENS             VALOR_CUSTO                     
ORDEM_SERVICO_ITENS             VALOR_PRODUTOS                  
