
  ID_PRODUTO PRODUTO                                                                                                                  BARRAS                                       ESTOQUE           VALOR_VENDA STATUS                         
        2913 ADAPTADOR UNIVERSAL 10A                                                                                                  7908124260238                                 2.0000             12.000000 ATIVO                          
        3130 ADAPTADOR\JOELHO DE MANGUEIRA                                                                                            <null>                                       35.0000              1.000000 ATIVO                          
        3597 ADAPTDOR ROSCA                                                                                                           7700010035971                                 5.0000              1.000000 ATIVO                          
        2173 ADESI COLA TUBO 75G GRANEL AMANCO                                                                                        7891960874694                                21.0000              8.000000 ATIVO                          
        1528 ADESI EPOXI DUREPOXI 50G HENKEL                                                                                          7891200007929                                 2.0000              6.000000 ATIVO                          
        2441 ADESI SILICONE AC USO GER 50G GR INC TEK                                                                                 7898472261783                                25.0000             12.000000 ATIVO                          
         258 ADESIVO EPOXI DUREPOXI 100G HENKEL*                                                                                      7891200007899                                14.0000             12.000000 ATIVO                          
          90 ADESIVO INSTANTANEO TEK BOND*                                                                                            7898904869815                                40.0000             12.000000 ATIVO                          
        2611 ADESIVO JUNTAS DIESEL 73G 3M  - H0002246074                                                                              7891040004973                                 6.0000             12.000000 ATIVO                          
        3055 ADESIVO PARA LAMINAÇÃO                                                                                                   7898362380662                                 6.0000             33.000000 ATIVO                          
        3050 ADESIVO PLASTICO - MUNDIAL PRIME 75G                                                                                     7898567704317                                 8.0000              8.000000 ATIVO                          
        3048 ADESIVO PLASTICO -FIRMEX 17G                                                                                             7898535370308                                21.0000              8.000000 ATIVO                          
        3052 ADESIVO PLASTICO 17G - KRONA                                                                                             7897801300674                                88.0000              3.000000 ATIVO                          
        1615 ADESIVO PLASTICO BRANCO 1KG- MASSAFIX                                                                                    7898362380273                                25.0000             22.000000 ATIVO                          
        1616 ADESIVO PLASTICO CINZA 1KG- MASSAFIX                                                                                     7898362380303                                35.0000             22.000000 ATIVO                          
        3343 ADESIVO PLASTICO CINZA 400G - MASSAFIX                                                                                   7898362380280                                 3.0000             15.000000 ATIVO                          
        3047 ADESIVO PLASTICO LEKAT                                                                                                   7898234998810                                 2.0000              8.000000 ATIVO                          
         683 ADESIVO PLASTICO P/ TUBOS DE PVC RIGIDO PEQ*                                                                             7896038100088                                 4.0000              8.000000 ATIVO                          
        3049 ADESIVO PLASTICO PARA TUBOS -FIRMEX 75G                                                                                  7898535370292                                11.0000              8.000000 ATIVO                          
        4143 ADESIVO PLASTICO POLYTUBES                                                                                               7296038700088                                 3.0000              3.000000 ATIVO                          
        1617 ADESIVO PLASTICO PRETO 1KG - MASSAFIX                                                                                    7898362380365                               106.0000             22.000000 ATIVO                          
          52 ADESIVO PLASTICO PVC 175G KRONA C/PINCEL                                                                                 7897801302661                                10.0000             13.000000 ATIVO                          
        3024 ADESIVO PLASTICO- 175G LEKAT                                                                                             7898234998827                                 3.0000             13.000000 ATIVO                          
         611 ADITIVO HIPERMEABILIZANTE P/CONC. ARGAMASSA                                                                              7897321117844                                 4.0000             42.000000 ATIVO                          
        2907 ADITIVO IMPERMEALIZANTE PARA CONCRE  2 EM 1                                                                              7898265336100                                 3.0000             49.000000 ATIVO                          
        2383 AGUARRAS SOLVENTE 0.9L NATRIELLI                                                                                         7897176400016                                 1.0000             20.000000 ATIVO                          
        4227 ALIC UNIVERSAL 8'' CB LARANJA/PRETO                                                                                      <null>                                        6.0000             17.000000 ATIVO                          
        3102 ALICATE DE CORTE 6- DX IMPORT                                                                                            7899872500366                                 5.0000             13.000000 ATIVO                          
        3393 ALICATE DE CORTE DIAGONAL                                                                                                7898684170477                                 1.0000             28.000000 ATIVO                          
